เว็บไซต์ของส่วนงาน(คณะ/วิทยาลัย/สำนัก),URL ของเว็บไซต์
"กองเทคโนโลยีสารสนเทศ","108.61.135.71"
"กองเทคโนโลยีสารสนเทศ","2.ntp.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","202.12.97.214"
"กองเทคโนโลยีสารสนเทศ","202.28.116.150"
"กองเทคโนโลยีสารสนเทศ","202.28.118.135"
"กองเทคโนโลยีสารสนเทศ","202.28.118.140"
"กองเทคโนโลยีสารสนเทศ","202.28.118.200"
"กองเทคโนโลยีสารสนเทศ","202.28.118.201"
"กองเทคโนโลยีสารสนเทศ","202.28.118.219"
"กองเทคโนโลยีสารสนเทศ","202.28.118.230"
"กองเทคโนโลยีสารสนเทศ","202.28.118.236"
"กองเทคโนโลยีสารสนเทศ","202.28.55.190"
"คณะเทคนิคการแพทย์","202.28.92.155"
"กองเทคโนโลยีสารสนเทศ","202.28.92.172"
"กองเทคโนโลยีสารสนเทศ","202.28.92.173"
"กองเทคโนโลยีสารสนเทศ","202.28.92.176"
"กองเทคโนโลยีสารสนเทศ","202.28.92.184"
"กองเทคโนโลยีสารสนเทศ","202.28.93.199"
"กองเทคโนโลยีสารสนเทศ","202.28.93.225"
"กองเทคโนโลยีสารสนเทศ","202.28.93.226"
"กองเทคโนโลยีสารสนเทศ","202.28.93.227"
"กองเทคโนโลยีสารสนเทศ","202.28.93.230"
"กองเทคโนโลยีสารสนเทศ","202.28.93.240"
"กองเทคโนโลยีสารสนเทศ","202.28.93.3"
"กองเทคโนโลยีสารสนเทศ","202.28.93.64"
"กองเทคโนโลยีสารสนเทศ","202.28.93.65"
"กองเทคโนโลยีสารสนเทศ","202.28.94.177"
"กองเทคโนโลยีสารสนเทศ","202.28.94.189"
"กองเทคโนโลยีสารสนเทศ","202.28.94.191"
"กองเทคโนโลยีสารสนเทศ","202.28.94.209"
"กองเทคโนโลยีสารสนเทศ","202.28.95.174"
"กองเทคโนโลยีสารสนเทศ","202.28.95.223"
"กองเทคโนโลยีสารสนเทศ","202.28.95.46"
"กองเทคโนโลยีสารสนเทศ","202.29.227.62"
"กองเทคโนโลยีสารสนเทศ","3.0.177.48"
"กองเทคโนโลยีสารสนเทศ","360.kku.ac.th"
"คณะเทคนิคการแพทย์","36ams.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","45.76.214.224"
"กองเทคโนโลยีสารสนเทศ","60.kku.ac.th"
"คณะศึกษาศาสตร์","acad-ed.kku.ac.th"
"คณะแพทยศาสตร์","acad.md.kku.ac.th"
"คณะแพทยศาสตร์","academed.kku.ac.th"
"กองบริหารงานวิชาการ","academic-document.kku.ac.th"
"กองบริหารงานวิชาการ","academy.kku.ac.th"
"คณะบริหารธุรกิจและการบัญชี","account.kku.ac.th"
"คณะบริหารธุรกิจและการบัญชี","accounts.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","acis.kku.ac.th"
